Donald Trump (Donald Trump),en,89185388
Joe Biden (Joe Biden),en,65016304
George Floyd (George Floyd),en,8415093
Donald Trump (Donald Trump),und,7173254
Abe Shinzo (Abe Shinzo),ja,6950232
COVID-19 (COVID-19),en,5744077
Yoshihide Suga (Yoshihide Suga),ja,4874184
Kamala Harris (Kamala Harris),en,3241932
Tracy Beanz (Tracy Beanz),en,3016894
Dan Scavino (Dan Scavino),en,1885146
United States Congress (United States Congress),en,1745612
Michael Flynn (Michael Flynn),en,1635264
Bernie Sanders (Bernie Sanders),en,1357072
Tokyo 2021 Summer Olympics (Tokyo 2021 Summer Olympics),ja,1354879
Tom Fitton (Tom Fitton),en,1285750
Barack Obama (Barack Obama),en,995356
Services (Services),en,899912
Lara Trump (Lara Trump),en,827596
Sylvester Stallone (Sylvester Stallone),en,827596
Ron Perlman (Ron Perlman),en,813996
The White House (The White House),en,765751
Online Site (Online Site),en,704428
Home & family (Home & family),en,684786
Eric Trump (Eric Trump),en,673391
History (History),en,672298
Angela Merkel (Angela Merkel),de,665928
Twitter (Twitter),en,654376
James Woods (James Woods),en,647130
Kyle Griffin (Kyle Griffin),en,561278
Charlie Kirk (Charlie Kirk),en,549115
Dave Wasserman (Dave Wasserman),en,524548
Thanksgiving Day  (Thanksgiving Day ),en,482949
Dinesh D'Souza (Dinesh D'Souza),en,469206
Entertainment (Entertainment),en,458193
TV/Movies Related (TV/Movies Related),en,458161
Michelle Obama (Michelle Obama),en,384986
Eriko Yamatani (Eriko Yamatani),ja,367392
Wellness and health (Wellness and health),en,356802
Community Health (Community Health),en,356802
Common Medication (Common Medication),en,356802
Mark R. Levin (Mark R. Levin),en,292888
Sean Hannity (Sean Hannity),en,291842
Ilhan Omar (Ilhan Omar),en,267074
Adam Parkhomenko (Adam Parkhomenko),en,263114
Joe Biden (Joe Biden),ja,260092
Chuck Schumer (Chuck Schumer),en,252214
Breitbart News (Breitbart News),en,243147
TV/Movies Related (TV/Movies Related),ja,231351
COVID-19 (COVID-19),ja,229668
NHK (NHK),ja,229280
