Barack Obama,126.45,6.52,1.63,85.8,2.5,7.6,4.1
Justin Bieber,113.17,11.01,0.79,77.6,3.5,15.4,3.6
KATY PERRY,108.94,0.73,0.18,78.4,4.0,13.0,4.7
Cristiano Ronaldo,89.39,5.82,1.46,94.9,0.4,3.8,1.0
Donald J. Trump,88.93,228.85,2.34,68.8,3.0,18.0,10.1
Taylor Swift,87.52,9.53,4.76,77.3,5.6,12.6,4.5
Lady Gaga,82.74,1.06,0.21,84.0,1.6,10.2,4.3
Ellen DeGeneres,79.51,1.95,0.08,91.0,1.2,4.6,3.2
Ariana Grande,79.05,37.4,1.78,82.4,2.5,9.5,5.5
YouTube,72.41,0.01,0.0,84.5,1.9,7.8,5.7
Kim Kardashian West,67.59,4.82,0.09,94.5,0.7,2.7,2.1
Justin Timberlake,64.23,0.03,0.01,77.5,0.5,15.2,6.8
Narendra Modi,63.67,45.29,0.74,88.2,0.7,9.0,2.1
Selena Gomez,63.61,2.4,0.24,82.8,1.7,11.4,4.1
CNN Breaking News,59.61,6.53,0.08,73.1,5.2,12.3,9.4
Britney Spears,55.86,1.02,0.51,90.4,1.8,4.6,3.2
Demi Lovato,55.5,8.28,0.49,83.6,4.6,8.4,3.5
Shakira,52.53,0.8,0.26,91.7,1.2,5.1,2.0
